stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,11.77,0,0,0,0,1.07,0,0,0,0
21Day,4.02,2.68,0,0,0,0,37.48,1.34,0,1.34,0,0,0,0,0,0
3Month,4.8,0,0.96,0.32,3.84,0.96,25.28,0.64,0.32,0,0.32,1.6,1.6,0.64,0.64,0.32
22Month,0.55,0,0,0,3.83,1.09,4.92,0,0,0,0,0,0,0,0,0.55
