stage,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Pancreatic_cell,T_cell
24hpf,0,4.09,4.09,0,0,0
72hpf,0,3.21,0,0,0,0
21Day,0,0,0,0,1.34,5.35
22Month,2.19,0,0,0.55,0,0
