stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,12.26,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,0,10.7,1.07,0,0,0,0,0,2.14,2.14,0,0,0
21Day,2.68,0,0,1.34,1.34,0,0,0,1.34,0,4.02,0,0,1.34,0,0,1.34,2.68,5.35,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,0.96,9.6,0,1.6,0.32,0,8.32,1.28,0,4.48,1.28,0.96,2.88,0.32,0.64,0.64,0,0.96,0,0,0,1.92,0,0,0.64,0.96,0.64
22Month,0,0,0,3.28,0,1.09,1.09,1.64,21.87,0,1.09,6.01,0,2.19,1.09,0,0.55,0.55,0,1.09,2.19,0.55,0.55,0,0,0,0.55,0,0
