stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,114.42,4.09,0,0,0,0,16.35,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,6.42,0,0,0,0,1.07,0,0,0,0,0,0,6.42,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,12.05,0,0,1.34,0,0,0,1.34,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,3.52,0,0.32,0,139.18,4.16,2.24,0,0.96,1.28,0.96,15.04,5.44,0,0.32,5.76,0,0.32,0.32,0,0,0,1.28,1.92,0,0,0,0.32,1.6,1.6
22Month,2.19,1.09,0,2.73,0.55,259.11,14.21,0,0.55,1.09,0.55,12.03,11.48,0,1.09,0.55,0.55,0.55,0,0,1.09,0.55,0,0,0.55,1.09,1.09,0,0,0,0.55
