stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0
72hpf,0,6.42,0,1.07,6.42,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,3.21,9.63,16.05,2.14,5.35,0,0,96.28,0,0
21Day,2.68,0,1.34,6.69,1.34,1.34,0,0,0,1.34,0,1.34,0,2.68,2.68,6.69,0,0,1.34,5.35,10.71,6.69,2.68,1.34,0,171.33,1.34,0
3Month,0,3.2,6.4,10.24,0,0,0,0.96,5.44,2.56,0.64,1.92,0.64,0.32,0.64,1.6,24.32,0.64,7.68,0.32,1.28,0,0,0,3.52,9.6,0,0.32
22Month,0,6.56,7.11,21.32,0,0,0.55,1.09,13.12,10.93,0,0,0,0,0.55,8.75,7.65,1.09,0,1.64,9.84,1.64,1.09,0,1.64,8.2,0,0
