stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,8.17,24.52,0,0,0,0,8.17,106.25,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,4.28,0,2.14,0,0,0,0,0,0,0,0,0,0,4.28,9.63,0,8.56,0,0,0,0,48.14,19.26,0,0,8.56,0,0,4.28,0,0,0,0,0
21Day,1.34,1.34,0,14.72,0,12.05,5.35,0,0,2.68,0,0,2.68,0,5.35,8.03,2.68,8.03,1.34,8.03,0,0,1.34,0,33.46,5.35,0,0,1.34,2.68,0,4.02,0,1.34,0,0,0
3Month,0.32,2.24,0.96,39.67,0.32,0,0,0.32,2.56,3.2,0,0,24.64,2.88,0.64,26.88,2.56,10.88,5.76,4.16,0.32,0.32,2.24,6.08,0.64,0.32,0.96,0.32,0.64,2.24,12.48,0.32,0,0,2.88,40.63,2.56
22Month,0,5.47,4.37,14.76,0,0,0,0,3.83,16.95,2.73,0,84.73,5.47,2.73,26.24,0,0.55,12.03,10.39,0,3.28,0.55,0,1.64,0,1.64,1.09,1.09,0,4.92,0,0.55,0,0.55,0.55,1.09
