stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,49.04,8.17,4.09,0,0,0,0,0,0,0,4.09,0,0,0,126.68,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,8.56,4.28,236.42,0,2.14,0,0,0,0,0,0,0,1.07,0,3.21,2.14,0,0,12.84,6.42,0,0,1.07,1.07,1.07,0
21Day,0,0,4.02,56.22,0,10.71,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,2.68
3Month,0,0.32,0.64,0,0.32,1.28,0.32,0.32,0,0.64,5.12,0,0.32,0,0,0,0.64,0.32,0,0,0,0,0.32,0,0,0,0.64
22Month,0,8.2,1.09,0,0.55,3.83,0,5.47,0.55,4.92,66.69,7.11,0,0,0,19.68,2.73,0,0.55,0.55,0,0.55,0,0,0,0,9.29
