stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,92.36,2.68,1.34,0,0,2.68,0,2.68,17.4,13.39,0,0,0,1.34,0,1.34,1.34,1.34,2.68,0
3Month,5.12,0,0,0.96,0.96,0,0.96,0.32,0,0.64,0,0,1.92,0,0,0,1.28,0,0,0.32
22Month,6.01,0,0,3.28,0,0,0,0,0,0.55,0.55,0.55,1.64,0,0,0,2.73,0,0,0
