stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,14.72,0,0,0,0,0,0,0,1.34,5.35,0,1.34,1.34,0,1.34,1.34,0,0,0,0
3Month,0.32,6.4,0.32,2.56,1.6,2.88,0.32,7.68,0,0,9.28,1.28,0,0,2.56,0,0.32,0,0.32,1.28,6.4
22Month,0,1.64,0,2.73,9.29,7.11,0,10.93,0.55,0.55,16.95,0,0,0,0.55,0,0.55,0.55,0,0,2.73
