stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.42,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,64.19,14.98,1.07,2.14,0,0,0,0,7.49,0,0,0,0
21Day,0,10.71,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,8.03,0,0,0,16.06,9.37,0,1.34,0,5.35,0,1.34,2.68,5.35,1.34,0,1.34
3Month,0,4.8,0,0,0.32,0.64,0.96,0,8.96,8.96,0,1.6,1.92,1.6,2.24,0.32,1.6,0.32,1.6,0,0.96,0,0,0,0,3.52,0,0,0,5.44,1.28
22Month,1.64,6.56,0,1.09,0,3.28,6.01,1.64,68.33,1.09,1.09,3.28,1.64,3.83,6.56,0,1.09,0,0,0,1.64,1.09,0.55,0.55,1.09,3.28,0.55,0,0,0,1.64
