stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,24.52,0,0,0,0,0,32.69,0,0,0,0,4.09,49.04,0,12.26,0,0,0,0,0,98.07,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,16.05,4.28,0,23.54,10.7,0,0,0,1.07,0,0,0,3.21,0,8.56,2097.86,2.14,27.81,0,3.21,1.07,0,282.42,120.89,1.07,1.07,21.4,0,0,20.33,2.14,2.14,0,0,0,0
21Day,1.34,2.68,1.34,36.14,5.35,0,1.34,1.34,1.34,0,0,0,5.35,1.34,1.34,421.64,2.68,17.4,0,0,1.34,0,44.17,17.4,0,0,10.71,8.03,10.71,1.34,1.34,5.35,0,0,0,2.68
3Month,0,0.96,0,95.66,0,0.64,0,1.6,1.6,0,12.8,1.6,0,2.56,1.28,4.48,2.56,3.84,0.32,0,0.64,0.64,0,0.32,0,0,0,0.96,40.95,0.32,0,0,0.64,0.64,7.36,0.64
22Month,0,2.73,0,12.57,0,0,0,0,3.28,0,16.95,1.09,0,1.64,0.55,0,1.64,2.73,0,0.55,0.55,0,0,0,1.09,0,0,0,7.11,0,0,0,0,0,0,1.09
