stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,12.26,0,8.17,106.25,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,3.21,0,2.14,5.35,2.14,0,1.07,0,0
21Day,0,0,6.69,1.34,1.34,1.34,1.34,1.34,8.03,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0.64,0,0.32,0
22Month,2.19,0,0,0,0,0,0,0,2.73,0,0,0,0,0.55
