stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,2.14,4.28,3.21,0,1.07,0
21Day,1.34,0,2.68,1.34,1.34,0,0,0,0,0,1.34,1.34,1.34,5.35,0,0,1.34,0,0,0,0,0
3Month,0,0.32,3.52,0,0,1.28,0.96,8.32,1.6,2.88,0,1.6,0.64,0.96,0.32,0,0.96,0,0.32,3.2,0.32,0.64
22Month,0,0,0,0,0,0,0,4.37,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
