stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,1.07,54.56,2.14,1.07,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,2.68,0,0,0,0,2.68,22.76,0,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0.96,0.64,0.32,0.96,0,0.96,0,0.64,0,0,0,0,0,1.28,0.64,0
22Month,0.55,0,0,0.55,10.39,0.55,1.64,1.64,0.55,0,2.19,1.09,0,0,0,0,0.55,0,0,0.55
