stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,367.78,4.09,0,0,0,0,4.09,0,0,0,0,8.17,0,0,36.78,0,0,0,0,118.51,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,35.3,188.28,16.05,5.35,0,0,0,0,0,0,0,0,2.14,24.61,0,43.86,0,4.28,0,79.16,16.05,0,0,21.4,0,0,6.42,0,0,0,0
21Day,2.68,40.16,14.72,6.69,0,0,0,0,0,0,0,1.34,0,0,2.68,0,5.35,0,0,0,14.72,6.69,0,0,4.02,1.34,1.34,0,1.34,0,0,0
3Month,0.96,129.58,20.16,5.12,0,0.32,0.64,0.32,0,6.72,2.56,0,0.96,1.28,4.48,2.24,19.84,8.32,1.28,0.32,1.28,0.64,0.64,0,3.52,0.32,1.6,0.32,5.44,4.48,0.64,0.32
22Month,1.09,186.41,25.69,2.73,0,1.09,3.28,10.39,0,14.21,0,0.55,1.09,0,5.47,3.83,39.91,1.64,2.73,0.55,0.55,2.19,0.55,1.64,4.92,0,5.47,1.09,1.09,2.19,0,0.55
