stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,24.61,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0
21Day,0,0,2.68,69.6,0,8.03,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0
3Month,0,0.32,0.64,0,0.96,0,1.28,0,1.92,0.32,0,0.64,0.32,0,0,0.32,0.64,0.32,0.96,0.32,0.64
22Month,0,0,0,0,0,0,0,1.09,3.83,1.09,0.55,0,0,0.55,0,0,2.73,0,0,0,0.55
