stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,198.98,21.4,0,1.07,2.14,0,0,3.21,2.14,0,0,0,0
21Day,1.34,0,1.34,0,2.68,0,0,0,0,0,1.34,1.34,1.34,0,1.34,0,2.68,0,0,1.34,87,13.39,0,0,0,5.35,0,0,10.71,9.37,1.34,0,0
3Month,0,0.32,0.96,0,0,0.32,0.32,0,0,2.56,0.96,0,0.64,0,0.96,0.64,0,0.32,0,0.32,0.64,0,0.32,0,0,0,1.28,0,0,0,0,5.76,0.32
22Month,0,0,1.64,0,0,0,0,0.55,2.19,14.21,0,0,1.64,0.55,0,2.73,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0.55
