stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,2.14,1.07,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.64,6.4,0.32,0.32,0.64,3.84,0,7.68,3.2,0.32,4.48,1.92,3.52,4.16,4.48,0.64,0,1.92,0.32,0.32,0.64,0,0,1.28,2.88,0,0,0.96,4.48
22Month,0.55,3.28,1.64,11.48,1.09,0,0.55,10.39,4.37,47.56,2.19,0.55,13.67,1.09,3.28,7.65,9.84,0,2.73,0,0.55,0.55,2.19,0.55,0.55,0,2.19,2.73,0.55,0.55,3.83
