stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,6.69,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,1.28,0.32,5.12,0,0.64,2.24,0.64,0,47.67,0.64,0.32,12.8,0.32,1.6,0.64,5.76,1.28,0,0.32,1.28,0,1.6,0,0,0.32,2.24,0.32,14.08,1.28,0.96,2.56,0.64
22Month,0.55,3.28,0.55,10.93,0,1.64,5.47,0.55,8.2,106.05,0.55,0.55,20.23,1.09,3.28,3.28,14.21,1.09,4.92,0,4.92,1.09,1.09,1.64,92.93,0,3.28,0,53.57,19.68,0.55,0,1.09
