stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12.26,8.17,0,20.43,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,12.26,93.99,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,0,3.21,2.14,2.14,0,0,0,0,0,0,0,0,0,0,4.28,12.84,1.07,10.7,0,2.14,0,0,63.12,25.67,0,1.07,0,29.95,0,0,0,2.14,0,0,1.07,0,0
21Day,1.34,4.02,0,24.09,2.68,4.02,0,1.34,0,0,0,0,2.68,0,5.35,2.68,2.68,14.72,12.05,22.76,0,0,1.34,0,18.74,13.39,1.34,0,0,13.39,2.68,0,0,1.34,1.34,1.34,0,0,0
3Month,0.32,0.96,1.28,20.48,0.32,0,0.64,0.32,3.84,4.48,0,0,55.35,8.64,0.64,10.88,1.28,5.76,8.64,6.72,1.28,0,1.6,0.32,1.6,0,0.64,0.32,0,0.32,0.64,0.32,1.92,0.32,0,0,0,1.6,4.48
22Month,0,1.64,1.64,8.75,0,0,0.55,1.09,3.83,11.48,2.19,0,95.12,6.56,0.55,10.93,0.55,1.64,11.48,4.92,0,2.73,2.19,0,0.55,0,1.64,1.09,1.09,0.55,1.64,0,0.55,0,0,0,0,0.55,6.56
