stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mt_rich_cell,T_cell
21Day,0,2.68,0,0,2.68,0,1.34,0
22Month,0.55,0,0.55,1.64,0,0.55,0,0.55
