stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,1.34,0,0,0,0,0,0,0,1.34,0,41.49,0,0,0,0,0,0,0,0,0
3Month,0.32,22.08,0,0.64,0.64,0.64,1.28,2.56,0.64,0.96,1.28,1.92,22.4,0.96,0,0.32,0.32,1.28,0.64,1.6,0.32,0.32
22Month,0,4.92,0,0,0,0.55,3.83,0,0,0.55,0.55,1.09,2.73,0.55,1.09,0,0,0,0,0.55,0,0
