stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,0,16.35,0
72hpf,0,0,1.07,0,2.14,2.14,0
21Day,1.34,1.34,0,0,0,0,1.34
