stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07,0
21Day,0,1.34,4.02,0,0,0,0,0,0
3Month,0.64,0,2.56,0.96,0,1.6,0.32,0.32,0.32
22Month,0.55,0.55,1.09,0,0.55,0.55,0,0,0
