stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,0,73.56,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,6.42,5.35,2.14,0,0,0,0,4.28,0,0,0
21Day,0,0,2.68,5.35,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,2.68,1.34,0,0,0
3Month,0.96,1.28,47.67,0.96,0.32,0.64,2.24,1.28,0.32,24,2.24,0.32,5.12,7.04,2.24,5.44,3.84,0.64,0.32,0.96,1.92,4.16,0,1.6,1.92,0.32,2.56,103.02,0.32,2.24,1007.52,6.4
22Month,0,0,22.96,0,0,0,0.55,0,0,5.47,0,0,1.09,1.09,0,0.55,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0.55,21.32,0.55,0,1.09,2.73
