stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,33.46,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,0,77.11,0.32,0,0,0,2.88,0.96,0.32,0.64,0,16.64,0.32,1.28,0.32,0,0,0,0,0,2.24,0,0.96,0.32
22Month,0,2.19,270.59,0.55,0.55,0.55,2.19,30.07,4.92,0.55,2.73,0.55,95.12,9.29,2.19,0,1.09,1.64,0.55,0,0.55,2.73,0.55,0,7.11
