stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,4.16,0.96,16.64,0.64,0.64,3.52,7.04,28.48,6.4,0.64,13.12,2.24,7.04,4.16,7.36,2.56,0.32,0.64,2971.05,0.64,2.56,0.32,0.32,1.92,13.12,1.28,0.32,5.76,4.8,4.16
22Month,0,0,0,0.55,0,0,0,0.55,6.01,1.09,0,0,0,0,0,0.55,0,0,0,29.52,0,0.55,0.55,0,0,10.93,0,0,0,0,0
