stage,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,12.26,0
72hpf,0,5.35,1.07,0
21Day,0,4.02,0,1.34
22Month,1.64,0,0,0
