stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,2.24,0.32,0.32,0.64,1.92,0.32,0,0.64,0.64,0.32,0.64,0,0,0,0.64,0,0,0,0.64,0.64,0
22Month,0,1.09,0.55,0.55,2.19,7.11,0,0,0,0.55,1.09,2.73,0.55,0.55,0,0,0.55,0.55,0.55,0,0,0.55
