stage,Epithelial_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,4.09,4.09
72hpf,0,0,1.07,4.28,2.14,1.07
21Day,0,1.34,0,1.34,2.68,1.34
