stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,143.02,8.17,0,81.73,0,0,0,0,0,0,0,0,0,8.17,16.35,4.09,102.16,0,0,0,0,40.86,600.7,4.09,0,0,0,0,0,0,0,0,0
72hpf,17.12,3.21,0,13.91,1.07,3.21,0,0,1.07,0,0,0,0,10.7,35.3,0,101.63,0,1.07,25.67,0,533.83,74.89,1.07,0,37.44,0,0,23.54,0,0,0,0
21Day,34.8,5.35,8.03,9.37,0,8.03,0,0,1.34,1.34,0,0,2.68,2.68,6.69,0,88.34,0,0,88.34,0,18.74,13.39,1.34,1.34,30.79,6.69,0,6.69,2.68,1.34,0,4.02
3Month,0,0.32,1.92,4.16,0,0,0.32,1.6,0.32,3.2,0.64,0,2.56,0.96,3.84,0,1.6,0.32,0,1.6,0.32,0,0,0,0.32,0.32,0,0.32,0,0,0,0.96,0.32
22Month,0.55,0.55,1.09,2.73,0,0,0.55,0,0,11.48,0,0.55,2.19,0,0,0.55,1.64,0,0,2.73,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0
