stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,16.35,0,0,0,0,0,0,4.09,0,0,65.38,0,4.09,0,0,0,0,0,196.15,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,0,3.21,23.54,0,2.14,0,1.07,0,0,8.56,8.56,0,2.14,0,0,1.07,0,0
21Day,0,26.77,0,2.68,0,0,0,0,0,0,1.34,5.35,0,0,0,0,1.34,0,0,0,0,1.34,1.34,1.34,0,0,1.34
3Month,0.32,3.2,0,0,0.32,0,1.28,0.32,0,0.64,0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0.32,0,0.32,15.36,0,3.84,0.32
22Month,0,0.55,0,0,0,1.09,1.64,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
