stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,32.09,6.42,0,0,3.21,0,1.07,1.07,1.07,0,0,0
21Day,0,4.02,1.34,0,0,0,0,1.34,0,1.34,0,4.02,0,28.11,4.02,0,0,0,1.34,5.35,4.02,0,0,0,0
3Month,0.32,2.88,0,1.28,0,1.6,0.96,1.6,1.6,1.28,0.32,0.64,0.32,0.64,0,0.96,0,0,0.96,76.15,0.32,0,0.96,40.31,0.32
22Month,0,0.55,0,1.09,0.55,4.92,0,1.09,0,0,0,0.55,0,0,0,0,0.55,0,0,7.65,0,0,0,0,0
