stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,28.6,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,2.14,1.07,0
21Day,0,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,1.28,0,0,0.32,0.32,0.32,0.32,0,1.28,0,0.32,1.6
