stage,Cardiomyocyte,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,5.35,2.14,1.07,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,4.02,2.68,0,1.34,0,0,0,0
3Month,0,0,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0,0.64,0.32,1.28
22Month,0,0,0.55,0.55,0.55,0,0.55,0.55,0,0,0.55,0,2.19,1.09,0,0
