stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,0,1.34,0,0,1.34,0,1.34,1.34,4.02,0,2.68,1.34,1.34,1.34,0,0
3Month,0,0.32,0.96,0.32,0,1.6,0.32,0,0.96,0.96,0.64,0,0.32,0,0,0,0.32,0.32,0.32
22Month,0,0,0.55,0,0.55,2.73,0,0,0.55,0,0.55,0.55,0,0,0,0,0.55,0,0.55
