stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,6.42,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,8.03,0,1.34,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.96,1.6,39.67,0.32,0.96,6.72,6.72,0,19.52,8.96,0.64,22.72,2.56,6.08,10.24,3.52,1.92,0,2.88,1.92,0.64,0,2.24,0,0,0.96,0.96,0.32,1.28,0.32,22.08
22Month,0.55,6.01,2.73,19.13,0.55,1.64,8.75,24.6,3.28,186.41,8.75,9.29,48.65,2.19,2.73,13.12,14.76,0,4.92,1.09,0.55,1.64,0.55,2.19,0.55,0.55,1.09,2.19,0,0,0,6.01
