stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,1.34
3Month,0.32,0.32,1.28,0,10.56,0.96,0.64,1.92,0.32,0.64,0.32,0.32,0,0,0.64,0.32,0,0.96,8,0,2.56,1.28
22Month,0,0,0.55,0,4.92,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,2.73,0.55,0,0
