stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,4.09,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,6.69,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.64,0,0,0.32,0,0,0,0.32,0,0,0
22Month,0.55,8.2,1.09,0.55,0,6.56,3.28,0.55,0,1.09,0.55,3.28,2.19,1.09,0.55,0.55
