stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Retinal_cell,T_cell
21Day,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,20.08
3Month,2.88,0,1.6,0.32,0.96,0.96,0,0.32,0,0.32,0.32,0.32,0.64,0,25.6
22Month,0.55,0,1.64,0,6.01,0.55,0,0,0,0,0,0,0,0,0
