stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,1.07
3Month,0.32,0.96,0.32,0,0.64,2.56,0.32,0.64,0.32,0
22Month,0,0.55,0,0.55,1.09,2.19,0,0,0,0
