stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,0,0,0,0,1.07,0,0,1.07,1.07,0
21Day,1.34,2.68,0,0,0,0,1.34,0,1.34,0,0,1.34,1.34,2.68,0,0,0
3Month,0,1.28,0,0.32,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0.64
22Month,0,0,0.55,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,0
