stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,9.63,4.28,5.35,0,0,0,0,0,0,0,1.07,0,1.07,3.21,1.07,8.56,0,0,0,0,8.56,2.14,0,13.91,0,0,1.07,0,0,0,0
21Day,1.34,1.34,13.39,4.02,4.02,0,2.68,0,0,0,12.05,85.67,0,0,1.34,6.69,16.06,0,0,9.37,0,6.69,4.02,0,5.35,9.37,0,0,1.34,0,0,104.41
3Month,0,0.96,3.2,0.32,0,1.6,0,0.32,1.6,3.84,10.88,3.52,0.96,0.32,0.32,3.2,2.56,0.64,0,0.96,0.64,0.64,0,0.96,0.32,1.28,3.2,0,0,1.92,1.28,93.75
22Month,0,0,1.64,0,0,0,1.09,0,1.64,7.65,6.56,8.2,1.09,0.55,0.55,6.56,6.01,0.55,0.55,0,0,0,0,0,0,0,0.55,1.09,0,0,0,100.58
