stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,298.31,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,1.07,5.35,0,0,0,0,0,0,0,0,9.63,1.07,6.42,0,0,0,346.61,216.1,4.28,10.7,0,0,34.23,0,0,0
21Day,2.68,0,1.34,2.68,0,0,0,0,1.34,0,1.34,0,0,0,4.02,0,0,0,66.93,53.54,1.34,1.34,2.68,0,5.35,4.02,0,1.34
3Month,0,0,4.8,0,0.64,0.32,0.96,0,8.32,0.96,0,1.6,1.92,1.28,0.96,0.32,0,0.32,0.32,0.64,0,0,0.32,2.24,0,0,0.32,0
22Month,0,0.55,1.64,0,0.55,0.55,2.73,1.09,45.37,1.09,0,3.83,1.09,3.28,4.37,0,1.09,1.09,0,0,0.55,0,0.55,1.09,1.09,0,0.55,2.19
