stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,102.16,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,0,1.07,9.63,0,0,4.28,0,1.07,5.35,0,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,16.06,0,0,0,0,0,4.02,0,0,12.05,0,2.68,1.34,0,1.34,0
3Month,0.32,0.96,0.32,7.36,0,0,2.24,2.24,0.32,0,15.04,2.24,0,4.8,2.24,1.6,2.56,5.12,2.88,0,0.32,0.96,0.64,0.32,0.96,0.96,0,2.88,121.58,0,0.64,435.77,3.84
22Month,0,0,0,2.19,0,0,0,0,0,0,3.83,0,0,0,0,0,0.55,5.47,0.55,0.55,0.55,0,0,0.55,1.64,0,0,0,37.17,0.55,0,2.19,0
