stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,2.24,0.96,0.64,1.28,0.64,0.64,1.28,0,0,0,0.32,0.32,8.96,0,22.4
22Month,0,0,0,0,3.28,0.55,0,0,0,0,0.55,0,0,20.23,0.55,0
