stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,4.28,4.28,0,0,0,0,0,0,0,0
21Day,1.34,2.68,6.69,4.02,0,1.34,0,0,0,1.34,0,4.02,1.34,2.68,0,0,0,0,0,12.05,0,0,1.34,0,0,0,0,0,0
3Month,0,1.92,26.88,0,0.64,0,6.72,0.64,3.52,0.96,0,38.07,0.96,11.52,0.32,0.32,0,0,1.6,0.64,0,2.88,0.32,0.32,1.6,0.32,0.64,0.32,1.28
22Month,0,2.19,6.01,0.55,1.09,0,2.19,1.09,71.61,1.09,0.55,29.52,0,0.55,0.55,2.73,1.64,0.55,0.55,0,0.55,3.28,0,0.55,0.55,0,0.55,0,0
