stage,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
72hpf,0,0,10.7,0,0,0
21Day,1.34,1.34,2.68,1.34,1.34,1.34
