stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,5.35,0,0,1.34,2.68,0,0,0,1.34,0,0,0,1.34,1.34,1.34,0,0,0,0,0,2.68,0,2.68,1.34,4.02,0,0,0,0
3Month,0,0,0.32,1.6,0,0.32,0.32,0.32,0.32,23.04,0.32,0.32,0.32,0.32,0.64,0.32,0.32,0.32,0.64,0.32,0.32,0.96,0.32,0.96,18.88,0,0.64,29.44,0.64
22Month,0,1.09,0,1.09,0,0,0,0,1.64,15.31,0.55,0,0,1.09,0.55,0,0,0,0,0,0,1.09,0,0,0.55,0.55,0,0,0
