stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0,0,16.35,24.52,0,0,0,0,0,0
72hpf,12.84,9.63,3.21,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,179.72,0,38.51,17.12,9.63,72.75,0,0,2.14,0,0,0
21Day,4.02,1.34,1.34,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,115.11,0,115.11,6.69,2.68,9.37,5.35,0,0,0,0,0
3Month,0.32,1.92,2.88,0,0,0.32,0.32,0.32,0.64,0.96,3.52,0.32,3.2,0.64,1.28,0.96,24.96,8.64,2.24,0,0,0.96,0.96,0.32,0,87.67,1.6,0.32
22Month,0,0,0,0,0,0,0,0,0,0.55,4.92,0,0,0,0.55,0.55,9.29,1.09,3.83,0.55,0,1.09,0,1.09,0,15.31,0,0
