stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0,1.34,0,1.34,0,2.68
3Month,0.32,0.96,0.32,0.32,0,0.64,8.32,0.64,1.6,0.32,1.28,0.32,0.96,0.64,0.96,1.28,0,0.32,0,0.64,11.84
22Month,0,1.64,0,0.55,0.55,0,7.11,2.73,0.55,0,0,0,0.55,0,0,0.55,0,0.55,0,0.55,6.56
