stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,4.09,0,0,0,0,0,8.17,0,8.17,28.6,0,0,0
72hpf,1.07,0,0,0,0,0,0,3.21,1.07,0,0,1.07,2.14,0,0
21Day,1.34,0,5.35,0,0,0,0,1.34,2.68,2.68,0,2.68,2.68,1.34,0
3Month,0,0.32,0.96,0.32,0.32,7.36,0.32,0.96,0.96,0,0,0,0,0.32,0.32
22Month,0,0,0.55,0,0,1.64,0,0,0,0,0,0,0.55,0,0
