stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0
3Month,0.64,0.32,0.32,1.28,0.96,0.32,0.32,0.64,0.64,0.32,0,0.96,42.23,0,3.84,0.32
22Month,1.09,0,0.55,1.64,0,0,0,0,0,0,0,0,0.55,0,0,0
