stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.96,0.32,0.96,0,0.32,0,0,1.6,0.96,0,0.64,0.96,0.32,0.64,0,0.32,0,0,0.64,0.64,0.32
22Month,0.55,0,3.83,0,0.55,0.55,10.39,15.85,1.09,0.55,1.09,0,0.55,2.73,0.55,0,0,1.09,0,0,0
