stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,16.35,0,0,0,0,0,69.47,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,4.28,1.07,5.35,0,0,0,0,0,0,0,1.07,0,3.21,32.09,4.28,14.98,0,1.07,0,0,12.84,14.98,0,1.07,8.56,0,0,0,1.07,0,0,0
21Day,2.68,2.68,16.06,0,18.74,0,10.71,0,1.34,0,1.34,0,6.69,1.34,1.34,6.69,4.02,20.08,0,0,2.68,0,9.37,5.35,0,1.34,5.35,2.68,2.68,2.68,2.68,0,0,4.02
3Month,0,0,7.36,0,0,0.32,0.32,2.24,4.48,0.32,12.48,1.28,0.32,4.16,2.56,1.92,3.52,2.24,0.64,0,1.28,1.6,0.96,0,0.32,0,0,0,8.32,0.32,0,1.28,7.36,3.2
22Month,0,0.55,2.19,0,0,0,0,0.55,4.92,1.64,25.15,0,0,2.73,0,0,2.73,0.55,0,0.55,1.09,0,0,0,0,0,0,0.55,3.28,0,0,0.55,0,0
