stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,7.49,5.35,0,0,0,0,0,0,0,0,5.35,12.84,0,7.49,0,0,0,106.98,14.98,0,1.07,18.19,0,0,4.28,1.07,0,1.07,0,0,0
21Day,6.69,1.34,0,32.12,9.37,0,4.02,1.34,0,0,0,0,2.68,2.68,12.05,4.02,26.77,0,8.03,0,40.16,18.74,0,4.02,5.35,10.71,0,1.34,1.34,6.69,1.34,0,0,0
3Month,0,0.64,0.32,7.68,0,0,0,1.92,6.08,0,24.32,3.84,5.44,1.28,4.8,2.24,6.4,0,1.92,1.6,0.96,0.32,0,0.32,0,0.64,4.16,0,0,0,0,0.64,6.08,0.32
22Month,0.55,3.28,0.55,3.83,0,0.55,0,1.09,9.29,0.55,38.81,0.55,4.37,0,0.55,3.28,4.92,1.09,0.55,0,0.55,0,0.55,1.64,0,0,0.55,0,0.55,0,0,0.55,0,0
