stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,20.43,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,7.49,1.07,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,31.02,1.07,0,0,0,0,1.07,4.28,0,0,0,0,0
21Day,0,0,2.68,8.03,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,22.76,0,1.34,0,0,0,0,0,2.68,0,0,0,0
3Month,0.64,0.96,67.83,1.92,0,0.64,1.92,2.88,15.04,2.88,0.32,6.08,17.92,3.84,4.8,3.52,0.32,0.64,0.64,0.96,16.64,0,0.96,0.32,0,3.2,29.76,1.6,0,0.64,0.96,581.35,2.24
22Month,0,0,20.77,0.55,0,0,0,1.09,8.2,0,0,2.19,2.73,0,0.55,0.55,0,0.55,0.55,0.55,2.73,0,0.55,0,0.55,0,56.31,0.55,0,0,0,2.73,0.55
