stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,18.74,0,0,0,1.34,0,6.69,0,0,10.71,1.34,4.02,0,0,1.34,4.02,1.34,0,0,0,0,0,0,0,0,2.68
3Month,0.32,0.64,0.96,23.04,0,0.32,0.96,2.56,0,0.32,0.32,0.32,8.96,2.56,0.32,0.32,0,0,0,0,0.32,0.64,0.32,0.64,0.32,0.32,0.32,0.32,3.52
22Month,0,3.28,0,9.29,0.55,2.19,2.73,7.65,1.09,3.28,4.37,0,4.92,3.83,0.55,0,0.55,0,0,0,0,1.09,0,0,0,0,0,0,5.47
