stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,37.48,5.35,0,1.34,0,1.34,1.34,0,61.57,0,2.68,9.37,1.34,2.68,0,2.68,0,2.68,1.34,0,0,1.34,0,1.34,0,0,53.54
3Month,0,60.47,0,0.96,0,1.28,2.88,3.2,0.96,5.44,1.28,1.6,1.6,11.52,0.96,0,0.32,0.32,0,0,0,0,1.92,0.96,0,8.96,0.64,13.44
22Month,1.64,75.44,0,0,0,0,6.56,3.28,1.09,3.28,9.29,0,0.55,8.75,0.55,0.55,0,0,0,0,0.55,0,0,0,0,1.09,0,3.28
