stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,28.6,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,24.52,16.35,0,0,0,0,4.09,126.68,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,9.63,5.35,0,9.63,5.35,2.14,0,0,0,0,0,1.07,0,3.21,0,9.63,33.16,11.77,46,0,2.14,1.07,1.07,509.22,73.82,1.07,2.14,0,88.79,0,0,18.19,0,3.21,0,0,0
21Day,8.03,4.02,2.68,38.82,2.68,2.68,2.68,0,1.34,0,0,0,1.34,13.39,5.35,4.02,16.06,24.09,64.25,0,0,4.02,0,81.65,17.4,0,2.68,0,30.79,9.37,0,5.35,1.34,0,1.34,0,10.71
3Month,0,0.32,0.64,5.76,0,0,0,0.96,3.2,0,0,0.64,3.52,0,1.92,0,0.96,3.2,5.12,2.24,0,2.88,0.32,0.96,0,0,1.28,0,0.64,0,2.88,0,0,0,2.24,2.88,5.76
22Month,0.55,22.96,2.19,56.31,0,0,0.55,16.4,39.36,12.03,0,23.51,8.75,11.48,44.28,2.19,3.83,43.73,77.08,6.01,0,19.68,0.55,6.56,1.09,6.56,3.83,0.55,2.19,2.73,4.37,5.47,0,0.55,7.65,0,25.69
