stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,4.28,2.14,0,0,0,0,0,0,0,5.35,7.49,0,3.21,0,0,3.21,141.21,7.49,7.49,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,2.68,0,1.34,0,0,0,0,0,0,0,4.02,0,1.34,10.71,0,0,1.34,36.14,1.34,5.35,0,1.34,0,2.68,2.68,0,0,0,0
3Month,0,0.64,0,8.32,0,0,0,0,0,1.6,7.36,0.96,3.52,2.56,2.56,1.92,3.84,0.32,0,0.64,0,0,11.2,0,0.32,11.84,0.96,0,0.32,0.32,5.44,0.96
22Month,0,1.09,0.55,9.29,0,0,0.55,2.19,3.28,2.19,51.93,1.64,5.47,0,1.09,2.73,6.56,0,2.73,0.55,4.37,1.64,50.84,0.55,0,26.79,1.64,0,0.55,0.55,0,1.64
