stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,20.43,0,4.09,0,0,0,0,0,0,0,0,0,114.42,0,0,0,0,4.09,257.44,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,19.26,0,0,0,0,98.42,29.95,0,7.49,0,14.98,0,0,0
21Day,9.37,1.34,0,0,0,0,1.34,0,0,0,1.34,0,22.76,0,0,2.68,0,6.69,12.05,0,4.02,0,5.35,1.34,0,0
3Month,0,0,5.44,0,0.32,0.32,1.92,1.28,0,1.28,0.64,0.64,1.28,0.32,0,0.32,0.64,0.64,0,0.32,0,2.56,0,0,37.11,0.32
22Month,0,0,3.28,0,0,0.55,8.75,0.55,0.55,0.55,0.55,0,1.09,0,0.55,0,0,0,0,0,0,0.55,0,0,1.09,0
