stage,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,4.09,0
72hpf,0,0,0,0,0,0,1.07,0,0
21Day,5.35,1.34,0,0,0,1.34,2.68,0,0
3Month,0.32,0,0,0.32,0,0,0,0,0.64
22Month,0,0,0.55,0.55,2.73,0,0,0,0
