stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,0,8.17,36.78,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,9.63,0,0,0,0,1.07,0,0,0,0,1.07,0,3.21,17.12,2.14,6.42,0,1.07,0,1.07,22.47,13.91,0,0,10.7,1.07,0,4.28,0,1.07,0,0,0
21Day,0,1.34,1.34,8.03,13.39,0,2.68,0,1.34,0,0,0,1.34,0,8.03,6.69,2.68,5.35,9.37,9.37,0,0,0,0,14.72,14.72,0,0,8.03,1.34,0,2.68,0,0,0,0,4.02
3Month,0.64,1.6,1.28,27.84,0,0.64,0.32,0.32,6.08,8,0,0,209.25,18.56,0.96,37.75,1.6,10.24,10.88,12.48,0.96,0,4.16,3.84,0.96,0.32,0.96,1.6,0.96,4.8,8.32,0.32,0,0,2.56,7.68,4.8
22Month,0.55,0.55,0,9.84,0,1.64,0,0,1.64,10.93,1.09,0,312.69,10.93,1.09,29.52,0.55,1.64,8.2,10.93,0,3.83,1.64,0,0,0,0.55,0,0,1.64,2.19,0,0.55,0,0,0,2.19
